model,roc_auc,pr_auc,precision,recall_sensitivity,specificity,f1,brier_score
LightGBM (tuned),0.7609801134138509,0.23968247068129184,0.17974180734856007,0.4905149051490515,0.8507947976878613,0.2630813953488372,0.1268663578509498
CatBoost (tuned),0.7394149356955997,0.21889086632383054,0.21775544388609716,0.3523035230352303,0.915643063583815,0.2691511387163561,0.10339728727445713
LightGBM (default),0.7108108346256873,0.20737686455029164,0.21868787276341947,0.2981029810298103,0.9290101156069365,0.25229357798165136,0.0877715582758552
XGBoost,0.70103030961668,0.19414691347331822,0.21791044776119403,0.1978319783197832,0.9526734104046243,0.20738636363636362,0.07790160735215182
CatBoost (default),0.7227753888810565,0.19004285078494645,0.16811955168119552,0.36585365853658536,0.8793352601156069,0.23037542662116042,0.11803653310890393
Random Forest,0.7034855373842757,0.17986095020913678,0.21875,0.15176151761517614,0.9638728323699421,0.1792,0.10440804009551741
Logistic Regression,0.7051856681861615,0.164364243938411,0.13090909090909092,0.5853658536585366,0.7409682080924855,0.2139673105497771,0.19829770339657762
Decision Tree,0.6733046665726773,0.14888152869407636,0.1180709534368071,0.5772357723577236,0.7126083815028902,0.1960423377818684,0.19483388032448287
LSTM,0.5283355949527704,0.06791088836826974,0.0696560731388768,0.43360433604336046,0.6139812138728323,0.12003000750187548,0.2402718206586517
