threshold,roc_auc,pr_auc,precision,recall_sensitivity,specificity,f1,brier_score,tn,fp,fn,tp
0.1,0.7609801134138509,0.23968247068129184,0.07171717171717172,0.962059620596206,0.16997832369942195,0.1334837375446513,0.1268663578509498,941,4595,14,355
0.2,0.7609801134138509,0.23968247068129184,0.09286946520989074,0.8753387533875339,0.4300939306358382,0.16792305692747597,0.1268663578509498,2381,3155,46,323
0.3,0.7609801134138509,0.23968247068129184,0.11672831894780107,0.7696476964769647,0.6118135838150289,0.2027123483226267,0.1268663578509498,3387,2149,85,284
0.4,0.7609801134138509,0.23968247068129184,0.1440940012368584,0.6314363143631436,0.75,0.23464249748237667,0.1268663578509498,4152,1384,136,233
0.5,0.7609801134138509,0.23968247068129184,0.17974180734856007,0.4905149051490515,0.8507947976878613,0.2630813953488372,0.1268663578509498,4710,826,188,181
0.6,0.7609801134138509,0.23968247068129184,0.236983842010772,0.35772357723577236,0.9232297687861272,0.28509719222462204,0.1268663578509498,5111,425,237,132
0.7,0.7609801134138509,0.23968247068129184,0.2971014492753623,0.2222222222222222,0.9649566473988439,0.2542635658914728,0.1268663578509498,5342,194,287,82
